sorszam,vezeteknev,utonev,teljesNev,role,city,district,postalCode,country,email,phone
"1","Kovacs","Anna","Kovacs Anna","pharmacist","Paks","","7030","HU","",""
"2","Szabó","Dávid","Szabó Dávid","pharmacist","Szolnok","","5000","HU","",""
"3","Tóth","Kata","Tóth Kata","pharmacist","Nyiregyhaza","","4400","HU","",""
"4","Nagy","Miklós","Nagy Miklós","pharmacist","Nagykanizsa","","8800","HU","",""
"5","Varga","Melinda","Varga Melinda","pharmacist","Esztergom","","2500","HU","",""
"6","Kiss","Ákos","Kiss Ákos","pharmacist","Salgotarjan","","3100","HU","",""
"7","Molnar","Gergő","Molnar Gergő","pharmacist","Keszthely","","8360","HU","",""
"8","Farkas","Milán","Farkas Milán","pharmacist","Keszthely","","8360","HU","",""
"9","Balogh","Eszter","Balogh Eszter","pharmacist","Kecskemet","","6000","HU","",""
"10","Papp","Ádám","Papp Ádám","pharmacist","Sopron","","9400","HU","",""
"11","Lakatos","Szilvia","Lakatos Szilvia","pharmacist","Ozd","","3600","HU","",""
"12","Takács","Áron","Takács Áron","pharmacist","Kecskemet","","6000","HU","",""
"13","Juhasz","Adrienn","Juhasz Adrienn","pharmacist","Siofok","","8600","HU","",""
"14","Mészáros","Boglárka","Mészáros Boglárka","pharmacist","Hajduszoboszlo","","4200","HU","",""
"15","Horváth","Hanna","Horváth Hanna","pharmacist","Kalocsa","","6300","HU","",""
"16","Biro","Máté","Biro Máté","pharmacist","Ajka","","8400","HU","",""
"17","Sipos","Zsofia","Sipos Zsofia","pharmacist","Godollo","","2100","HU","",""
"18","Nemes","Tamás","Nemes Tamás","pharmacist","Sopron","","9400","HU","",""
"19","Kadar","Márta","Kadar Márta","pharmacist","Bekescsaba","","5600","HU","",""
"20","Simon","Roland","Simon Roland","pharmacist","Eger","","3300","HU","",""
"21","Vincze","Vivien","Vincze Vivien","pharmacist","Komarom","","2900","HU","",""
"22","Bodnar","Zalán","Bodnar Zalán","pharmacist","Kaposvar","","7400","HU","",""
"23","Kelemen","Noémi","Kelemen Noémi","pharmacist","Heviz","","8380","HU","",""
"24","Hegedűs","Gábor","Hegedűs Gábor","pharmacist","Szeged","","6720","HU","",""
"25","Cserna","Viktoria","Cserna Viktoria","pharmacist","Sopron","","9400","HU","",""
"26","Barta","Kristóf","Barta Kristóf","pharmacist","Eger","","3300","HU","",""
"27","Szalai","Kinga","Szalai Kinga","pharmacist","Komarom","","2900","HU","",""
"28","Kecskes","Patrik","Kecskes Patrik","pharmacist","Mosonmagyarovar","","9200","HU","",""
"29","Gulyás","Laszlo","Gulyás Laszlo","pharmacist","Balassagyarmat","","2660","HU","",""
"30","Antal","Levente","Antal Levente","pharmacist","Budaors","","2040","HU","",""
"31","Orban","Réka","Orban Réka","pharmacist","Siofok","","8600","HU","",""
"32","Illés","András","Illés András","pharmacist","Budaors","","2040","HU","",""
"33","Bencze","Renata","Bencze Renata","pharmacist","Siofok","","8600","HU","",""
"34","Feher","Csaba","Feher Csaba","pharmacist","Mako","","6900","HU","",""
"35","Boros","Ágnes","Boros Ágnes","pharmacist","Papa","","8500","HU","",""
"36","Kis","Bianka","Kis Bianka","pharmacist","Ozd","","3600","HU","",""
"37","Kocsis","Dora","Kocsis Dora","pharmacist","Tatabanya","","2800","HU","",""
"38","Fodor","Balázs","Fodor Balázs","pharmacist","Cegled","","2700","HU","",""
"39","Hajdú","Judit","Hajdú Judit","pharmacist","Sarvar","","9600","HU","",""
"40","Barna","István","Barna István","pharmacist","Kazincbarcika","","3700","HU","",""
"41","Fazekas","Ildiko","Fazekas Ildiko","pharmacist","Debrecen","","4024","HU","",""
"42","Madarász","Marcell","Madarász Marcell","pharmacist","Paks","","7030","HU","",""
"43","Racz","Attila","Racz Attila","pharmacist","Bekescsaba","","5600","HU","",""
"44","Dobi","Bence","Dobi Bence","pharmacist","Miskolc","","3525","HU","",""
"45","Tamási","Petra","Tamási Petra","pharmacist","Gyula","","5700","HU","",""
"46","Veres","Gergely","Veres Gergely","pharmacist","Kazincbarcika","","3700","HU","",""
"47","Kolozsi","Nóra","Kolozsi Nóra","pharmacist","Esztergom","","2500","HU","",""
"48","Páll","Dániel","Páll Dániel","pharmacist","Komarom","","2900","HU","",""
"49","Sarkozi","Orsolya","Sarkozi Orsolya","pharmacist","Nyiregyhaza","","4400","HU","",""
"50","Dudás","Emese","Dudás Emese","pharmacist","Kazincbarcika","","3700","HU","",""
"51","Kovács","Anna","Kovács Anna","assistant","Budapest","I. kerulet","1011","HU","",""
"52","Szabo","Dávid","Szabo Dávid","assistant","Budapest","II. kerulet","1024","HU","",""
"53","Tóth","Kata","Tóth Kata","assistant","Budapest","III. kerulet","1033","HU","",""
